1;1;A comission? At this hour?...
1;2;Skrimbles' fur is so soft...
1;3;A good energizer before returning to work
2;1;Skrimbles' fur is so soft...
2;2;A good energizer before returning to work
2;3;My mom gifted this to me when I was a kid...
2;4;Cool, refreshing water!
2;5;Take a deep breath
2;6;One more little chapter and then back to work
3;1;Skrimbles' fur is so soft...
3;2;A good energizer before returning to work
3;3;My mom gifted this to me when I was a kid...
3;4;Cool, refreshing water!
3;5;Take a deep breath
3;6;One more little chapter and then back to work
3;7;A good face wash soothes me a little
3;8;A little appetizer
3;9;A shower never hurts to clear your head
3;10;Hope you're happy!
