1;1;A comission? At this hour?...
1;2;Skrimbles' fur is so soft...
1;3;A good energizer before returning to work
1;4;A little appetizer
1;5;One more little chapter and then back to work
2;1;Good Grief
2;2;Skrimbles' fur is so soft...
2;3;A good energizer before returning to work
2;4;My mom gifted this to me when I was a kid...
2;5;Cool, refreshing water!
3;1;Skrimbles' fur is so soft...
3;2;A good energizer before returning to work
3;3;My mom gifted this to me when I was a kid...
3;4;Cool, refreshing water!
3;5;Take a deep breath
3;6;One more little chapter and then back to work
4;1;Skrimbles' fur is so soft...
4;2;A good energizer before returning to work
4;3;My mom gifted this to me when I was a kid...
4;4;Cool, refreshing water!
4;5;Take a deep breath
4;6;One more little chapter and then back to work
4;7;A good face wash soothes me a little
4;8;A little appetizer
5;1;Skrimbles' fur is so soft...
5;2;A good energizer before returning to work
5;3;My mom gifted this to me when I was a kid...
5;4;Cool, refreshing water!
5;5;Take a deep breath
5;6;One more little chapter and then back to work
5;7;A good face wash soothes me a little
5;8;A little appetizer
5;9;A shower never hurts to clear your head
5;10;Hope you're happy!
